Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   768256     0.00     0.00  void Eigen::internal::ignore_unused_variable<long>(long const&)
  0.00      0.00     0.00   768256     0.00     0.00  Eigen::internal::plainobjectbase_evaluator_data<std::complex<double>, 0>::plainobjectbase_evaluator_data(std::complex<double> const*, long)
  0.00      0.00     0.00   768256     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >::evaluator(Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > const&)
  0.00      0.00     0.00   768256     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >::~evaluator()
  0.00      0.00     0.00   768256     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::evaluator(Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const&)
  0.00      0.00     0.00   768256     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::~evaluator()
  0.00      0.00     0.00   768256     0.00     0.00  Eigen::DenseStorage<std::complex<double>, -1, -1, 1, 0>::data() const
  0.00      0.00     0.00   768256     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::data() const
  0.00      0.00     0.00   768000     0.00     0.00  CQP::NumericalGrid<1u, 1u>::shrink(int (&) [1]) const
  0.00      0.00     0.00   514001     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00   512259     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00   512256     0.00     0.00  void std::_Construct<std::complex<double>, std::complex<double> const&>(std::complex<double>*, std::complex<double> const&)
  0.00      0.00     0.00   512256     0.00     0.00  std::complex<double>* std::__addressof<std::complex<double> >(std::complex<double>&)
  0.00      0.00     0.00   512256     0.00     0.00  std::complex<double> const& std::forward<std::complex<double> const&>(std::remove_reference<std::complex<double> const&>::type&)
  0.00      0.00     0.00   512000     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.00     0.00   512000     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.00     0.00   512000     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.00     0.00   512000     0.00     0.00  CQP::Wavefunction<1u>::getValueByIndex(int) const
  0.00      0.00     0.00   512000     0.00     0.00  CQP::NumericalGrid<1u, 1u>::expand(int) const
  0.00      0.00     0.00   512000     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, 0>::coeff(long) const
  0.00      0.00     0.00   512000     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, 0>::operator()(long) const
  0.00      0.00     0.00   512000     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >::coeff(long) const
  0.00      0.00     0.00   512000     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00   512000     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.00     0.00   512000     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00   512000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.00     0.00   512000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.00     0.00   512000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00   512000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.00     0.00   512000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00   512000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00   512000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00   512000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00   512000     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.00     0.00   512000     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.00     0.00   512000     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.00     0.00   512000     0.00     0.00  int* std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00   512000     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.00     0.00   512000     0.00     0.00  std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00   512000     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&)
  0.00      0.00     0.00   512000     0.00     0.00  std::vector<int, std::allocator<int> >::vector(unsigned long, int const&, std::allocator<int> const&)
  0.00      0.00     0.00   512000     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00   512000     0.00     0.00  int* std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&, std::random_access_iterator_tag)
  0.00      0.00     0.00   512000     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.00     0.00   512000     0.00     0.00  std::iterator_traits<int*>::iterator_category std::__iterator_category<int*>(int* const&)
  0.00      0.00     0.00   512000     0.00     0.00  int* std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00   512000     0.00     0.00  int* std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.00      0.00     0.00   512000     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00   512000     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00   512000     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.00     0.00   512000     0.00     0.00  void std::__fill_a<int*, int>(int*, int*, int const&)
  0.00      0.00     0.00   512000     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)
  0.00      0.00     0.00   259258     0.00     0.00  std::complex<double>::complex(double, double)
  0.00      0.00     0.00   258258     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::derived()
  0.00      0.00     0.00   256256     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, 1>::coeffRef(long)
  0.00      0.00     0.00   256256     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, 1>::operator()(long)
  0.00      0.00     0.00   256256     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >::coeffRef(long)
  0.00      0.00     0.00   256256     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::operator[](unsigned long) const
  0.00      0.00     0.00   256256     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::operator[](unsigned long)
  0.00      0.00     0.00   256000     0.00     0.00  std::complex<double>::imag[abi:cxx11]() const
  0.00      0.00     0.00   256000     0.00     0.00  std::complex<double>::real[abi:cxx11]() const
  0.00      0.00     0.00   256000     0.00     0.00  std::complex<double>::operator/=(double)
  0.00      0.00     0.00   256000     0.00     0.00  std::complex<double> std::operator/<double>(std::complex<double> const&, double const&)
  0.00      0.00     0.00     6003     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::~new_allocator()
  0.00      0.00     0.00     6003     0.00     0.00  std::allocator<std::complex<double> >::~allocator()
  0.00      0.00     0.00     4002     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::new_allocator(__gnu_cxx::new_allocator<std::complex<double> > const&)
  0.00      0.00     0.00     4002     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::_M_max_size() const
  0.00      0.00     0.00     4002     0.00     0.00  std::allocator<std::complex<double> >::allocator(std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     4002     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00     2002     0.00     0.00  Eigen::internal::aligned_free(void*)
  0.00      0.00     0.00     2002     0.00     0.00  void Eigen::internal::conditional_aligned_free<true>(void*)
  0.00      0.00     0.00     2002     0.00     0.00  void Eigen::internal::conditional_aligned_delete_auto<std::complex<double>, true>(std::complex<double>*, unsigned long)
  0.00      0.00     0.00     2001     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::deallocate(std::complex<double>*, unsigned long)
  0.00      0.00     0.00     2001     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00     2001     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::new_allocator()
  0.00      0.00     0.00     2001     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::max_size() const
  0.00      0.00     0.00     2001     0.00     0.00  std::allocator<std::complex<double> >::allocator()
  0.00      0.00     0.00     2001     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::complex<double>*>(std::complex<double>*, std::complex<double>*)
  0.00      0.00     0.00     2001     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_allocate(unsigned long)
  0.00      0.00     0.00     2001     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_impl::_Vector_impl(std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     2001     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     2001     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_deallocate(std::complex<double>*, unsigned long)
  0.00      0.00     0.00     2001     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_create_storage(unsigned long)
  0.00      0.00     0.00     2001     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00     2001     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_base(unsigned long, std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     2001     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::~_Vector_base()
  0.00      0.00     0.00     2001     0.00     0.00  std::allocator_traits<std::allocator<std::complex<double> > >::deallocate(std::allocator<std::complex<double> >&, std::complex<double>*, unsigned long)
  0.00      0.00     0.00     2001     0.00     0.00  std::allocator_traits<std::allocator<std::complex<double> > >::allocate(std::allocator<std::complex<double> >&, unsigned long)
  0.00      0.00     0.00     2001     0.00     0.00  std::allocator_traits<std::allocator<std::complex<double> > >::max_size(std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     2001     0.00     0.00  std::complex<double>* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::complex<double>*, unsigned long, std::complex<double> >(std::complex<double>*, unsigned long, std::complex<double> const&)
  0.00      0.00     0.00     2001     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_S_max_size(std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     2001     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_S_check_init_len(unsigned long, std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     2001     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_M_fill_initialize(unsigned long, std::complex<double> const&)
  0.00      0.00     0.00     2001     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::vector(unsigned long, std::complex<double> const&, std::allocator<std::complex<double> > const&)
  0.00      0.00     0.00     2001     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::~vector()
  0.00      0.00     0.00     2001     0.00     0.00  std::complex<double>* std::uninitialized_fill_n<std::complex<double>*, unsigned long, std::complex<double> >(std::complex<double>*, unsigned long, std::complex<double> const&)
  0.00      0.00     0.00     2001     0.00     0.00  std::complex<double>* std::__uninitialized_fill_n_a<std::complex<double>*, unsigned long, std::complex<double>, std::complex<double> >(std::complex<double>*, unsigned long, std::complex<double> const&, std::allocator<std::complex<double> >&)
  0.00      0.00     0.00     2001     0.00     0.00  void std::_Destroy<std::complex<double>*>(std::complex<double>*, std::complex<double>*)
  0.00      0.00     0.00     2001     0.00     0.00  void std::_Destroy<std::complex<double>*, std::complex<double> >(std::complex<double>*, std::complex<double>*, std::allocator<std::complex<double> >&)
  0.00      0.00     0.00     2000     0.00     0.00  bool (anonymous namespace)::isApproxEqual<double>(double const&, double const&)
  0.00      0.00     0.00     1024     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.00     0.00     1006     0.00     0.00  CQP::NumericalGrid<1u, 1u>::update_total_cnt()
  0.00      0.00     0.00     1002     0.00     0.00  CQP::NumericalGrid<1u, 1u>::NumericalGrid(CQP::NumericalGrid<1u, 1u> const&)
  0.00      0.00     0.00     1001     0.00     0.00  CQP::Wavefunction<1u>::Wavefunction(CQP::NumericalGrid<1u, 1u> const&, std::vector<std::complex<double>, std::allocator<std::complex<double> > > const&)
  0.00      0.00     0.00     1001     0.00     0.00  CQP::Wavefunction<1u>::~Wavefunction()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::MatrixBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >::MatrixBase()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::MatrixBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::MatrixBase()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::DenseStorage<std::complex<double>, -1, -1, 1, 0>::data()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::DenseStorage<std::complex<double>, -1, -1, 1, 0>::resize(long, long, long)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::DenseStorage<std::complex<double>, -1, -1, 1, 0>::DenseStorage()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::DenseStorage<std::complex<double>, -1, -1, 1, 0>::~DenseStorage()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::CwiseNullaryOp(long, long, Eigen::internal::scalar_constant_op<std::complex<double> > const&)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>& Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::_set_noalias<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >(Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > > const&)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::_check_template_params()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::data()
  0.00      0.00     0.00     1001     0.00     0.00  void Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::_init1<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >(Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > > const&)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::resize(long, long)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::PlainObjectBase()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::~PlainObjectBase()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>::Matrix<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >(Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > const&)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>::~Matrix()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::Assignment<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >, Eigen::internal::assign_op<std::complex<double>, std::complex<double> >, Eigen::internal::Dense2Dense, void>::run(Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > const&, Eigen::internal::assign_op<std::complex<double>, std::complex<double> > const&)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::aligned_malloc(unsigned long)
  0.00      0.00     0.00     1001     0.00     0.00  void Eigen::internal::resize_if_allowed<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >, std::complex<double>, std::complex<double> >(Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > const&, Eigen::internal::assign_op<std::complex<double>, std::complex<double> > const&)
  0.00      0.00     0.00     1001     0.00     0.00  void Eigen::internal::check_for_aliasing<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >(Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > const&)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::scalar_constant_op<std::complex<double> >::scalar_constant_op(Eigen::internal::scalar_constant_op<std::complex<double> > const&)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::scalar_constant_op<std::complex<double> >::scalar_constant_op(std::complex<double> const&)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::variable_if_dynamic<long, 1>::value()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::variable_if_dynamic<long, 1>::variable_if_dynamic(long)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::variable_if_dynamic<long, -1>::variable_if_dynamic(long)
  0.00      0.00     0.00     1001     0.00     0.00  void Eigen::internal::call_assignment_no_alias<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >, Eigen::internal::assign_op<std::complex<double>, std::complex<double> > >(Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > const&, Eigen::internal::assign_op<std::complex<double>, std::complex<double> > const&)
  0.00      0.00     0.00     1001     0.00     0.00  void Eigen::internal::call_dense_assignment_loop<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>::Scalar>, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > const&, Eigen::internal::assign_op<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>::Scalar, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>::Scalar> const&)
  0.00      0.00     0.00     1001     0.00     0.00  void* Eigen::internal::conditional_aligned_malloc<true>(unsigned long)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::check_that_malloc_is_allowed()
  0.00      0.00     0.00     1001     0.00     0.00  std::complex<double>* Eigen::internal::conditional_aligned_new_auto<std::complex<double>, true>(unsigned long)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::assign_op<std::complex<double>, std::complex<double> >::assign_op()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >::DenseBase()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > const Eigen::DenseBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::NullaryExpr<Eigen::internal::scalar_constant_op<std::complex<double> > >(long, Eigen::internal::scalar_constant_op<std::complex<double> > const&)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::Zero(long)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::Constant(long, std::complex<double> const&)
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::DenseBase()
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::cols() const
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::rows() const
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >::functor() const
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::scalar_constant_op<std::complex<double> >::operator()() const
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::internal::variable_if_dynamic<long, -1>::value() const
  0.00      0.00     0.00     1001     0.00     0.00  Eigen::EigenBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> > >::derived() const
  0.00      0.00     0.00     1001     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::size() const
  0.00      0.00     0.00     1001     0.00     0.00  std::complex<double>* std::__fill_n_a<std::complex<double>*, long, std::complex<double> >(std::complex<double>*, long, std::complex<double> const&, std::random_access_iterator_tag)
  0.00      0.00     0.00     1001     0.00     0.00  std::__size_to_integer(long)
  0.00      0.00     0.00     1001     0.00     0.00  std::iterator_traits<std::complex<double>*>::iterator_category std::__iterator_category<std::complex<double>*>(std::complex<double>* const&)
